date,ticker,gap,prev_close,open,strategy,status,entry,stop,target,pl,time,vwap,support,resistance
2025-08-15,JOBY,13.17,16.63,18.82,1m FirstPullback,❌,,,,,,,,
2025-08-15,JOBY,13.17,16.63,18.82,5m FirstPullback,❌,,,,,,,,
2025-08-15,JOBY,13.17,16.63,18.82,1m ABCD,✅,16.92,16.90,16.97,+0.05,18:49,,,
2025-08-15,JOBY,13.17,16.63,18.82,5m ABCD,❌,,,,,,,,
2025-08-14,ADAP,14.29,0.07,0.08,1m Flat-Top,❌,,,,,,,,
2025-08-14,ADAP,14.29,0.07,0.08,1m Flat-Bottom,❌,,,,,,,,
2025-08-14,ADAP,14.29,0.07,0.08,5m Flat-Top,❌,,,,,,,,
2025-08-14,ADAP,14.29,0.07,0.08,5m Flat-Bottom,❌,,,,,,,,
2025-08-14,ADAP,14.29,0.07,0.08,1m BullFlag,❌,,,,,,,,
2025-08-14,ADAP,14.29,0.07,0.08,5m BullFlag,❌,,,,,,,,
2025-08-14,ADAP,14.29,0.07,0.08,1m FirstPullback,❌,,,,,,,,
2025-08-14,ADAP,14.29,0.07,0.08,5m FirstPullback,❌,,,,,,,,
2025-08-14,ADAP,14.29,0.07,0.08,1m ABCD,❌,,,,,,,,
2025-08-14,ADAP,14.29,0.07,0.08,5m ABCD,❌,,,,,,,,
2025-08-14,UI,12.30,421.31,473.15,1m Flat-Top,❌,,,,,,,,
2025-08-14,UI,12.30,421.31,473.15,1m Flat-Bottom,❌,,,,,,,,
2025-08-14,UI,12.30,421.31,473.15,5m Flat-Top,❌,,,,,,,,
2025-08-14,UI,12.30,421.31,473.15,5m Flat-Bottom,❌,,,,,,,,
2025-08-14,UI,12.30,421.31,473.15,1m BullFlag,✅,417.55,412.21,418.19,+0.64,17:20,,,
2025-08-14,UI,12.30,421.31,473.15,5m BullFlag,✅,418.02,397.76,424.32,+6.30,17:40,,,
2025-08-14,UI,12.30,421.31,473.15,1m FirstPullback,❌,,,,,,,,
2025-08-14,UI,12.30,421.31,473.15,5m FirstPullback,❌,,,,,,,,
2025-08-14,UI,12.30,421.31,473.15,1m ABCD,✅,414.31,407.58,423.84,+9.53,18:32,,,
2025-08-14,UI,12.30,421.31,473.15,5m ABCD,✅,411.60,408.64,425.58,+13.98,20:10,,,
2025-08-13,GLBE,18.74,31.06,36.88,1m Flat-Top,❌,,,,,,,,
2025-08-13,GLBE,18.74,31.06,36.88,1m Flat-Bottom,✅,32.15,32.59,,,16:38,,,
2025-08-13,GLBE,18.74,31.06,36.88,5m Flat-Top,❌,,,,,,,,
2025-08-13,GLBE,18.74,31.06,36.88,5m Flat-Bottom,❌,,,,,,,,
2025-08-13,GLBE,18.74,31.06,36.88,1m BullFlag,✅,31.06,30.50,31.53,+0.47,16:50,,,
2025-08-13,GLBE,18.74,31.06,36.88,5m BullFlag,✅,31.24,30.93,31.57,+0.33,21:25,,,
2025-08-13,GLBE,18.74,31.06,36.88,1m FirstPullback,❌,,,,,,,,
2025-08-13,GLBE,18.74,31.06,36.88,5m FirstPullback,❌,,,,,,,,
2025-08-13,GLBE,18.74,31.06,36.88,1m ABCD,✅,31.42,31.00,32.21,+0.79,18:06,,,
2025-08-13,GLBE,18.74,31.06,36.88,5m ABCD,❌,,,,,,,,
2025-08-13,PRTS,12.99,0.77,0.87,1m Flat-Top,❌,,,,,,,,
2025-08-13,PRTS,12.99,0.77,0.87,1m Flat-Bottom,✅,0.83,0.85,,,18:28,,,
2025-08-13,PRTS,12.99,0.77,0.87,5m Flat-Top,❌,,,,,,,,
2025-08-13,PRTS,12.99,0.77,0.87,5m Flat-Bottom,✅,0.83,0.85,,,18:25,,,
2025-08-13,PRTS,12.99,0.77,0.87,1m BullFlag,❌,,,,,,,,
2025-08-13,PRTS,12.99,0.77,0.87,5m BullFlag,❌,,,,,,,,
2025-08-13,PRTS,12.99,0.77,0.87,1m FirstPullback,❌,,,,,,,,
2025-08-13,PRTS,12.99,0.77,0.87,5m FirstPullback,❌,,,,,,,,
2025-08-13,PRTS,12.99,0.77,0.87,1m ABCD,❌,,,,,,,,
2025-08-13,PRTS,12.99,0.77,0.87,5m ABCD,❌,,,,,,,,
2025-08-12,TPIC,23.53,0.17,0.21,1m Flat-Top,✅,0.17,0.17,,,14:43,,,
2025-08-12,TPIC,23.53,0.17,0.21,1m Flat-Bottom,✅,0.16,0.16,,,17:31,,,
2025-08-12,TPIC,23.53,0.17,0.21,5m Flat-Top,✅,0.17,0.17,,,14:40,,,
2025-08-12,TPIC,23.53,0.17,0.21,5m Flat-Bottom,✅,0.16,0.17,,,17:30,,,
2025-08-12,TPIC,23.53,0.17,0.21,1m BullFlag,❌,,,,,,,,
2025-08-12,TPIC,23.53,0.17,0.21,5m BullFlag,❌,,,,,,,,
2025-08-12,TPIC,23.53,0.17,0.21,1m FirstPullback,❌,,,,,,,,
2025-08-12,TPIC,23.53,0.17,0.21,5m FirstPullback,❌,,,,,,,,
2025-08-12,TPIC,23.53,0.17,0.21,1m ABCD,❌,,,,,,,,
2025-08-12,TPIC,23.53,0.17,0.21,5m ABCD,❌,,,,,,,,
2025-08-12,VERU,14.98,2.87,3.30,1m Flat-Top,❌,,,,,,,,
2025-08-12,VERU,14.98,2.87,3.30,1m Flat-Bottom,❌,,,,,,,,
2025-08-12,VERU,14.98,2.87,3.30,5m Flat-Top,❌,,,,,,,,
2025-08-12,VERU,14.98,2.87,3.30,5m Flat-Bottom,❌,,,,,,,,
2025-08-12,VERU,14.98,2.87,3.30,1m BullFlag,❌,,,,,,,,
2025-08-12,VERU,14.98,2.87,3.30,5m BullFlag,❌,,,,,,,,
2025-08-12,VERU,14.98,2.87,3.30,1m FirstPullback,❌,,,,,,,,
2025-08-12,VERU,14.98,2.87,3.30,5m FirstPullback,❌,,,,,,,,
2025-08-12,VERU,14.98,2.87,3.30,1m ABCD,❌,,,,,,,,
2025-08-12,VERU,14.98,2.87,3.30,5m ABCD,❌,,,,,,,,
2025-08-12,ALEC,11.82,2.03,2.27,1m Flat-Top,✅,2.24,2.24,,,15:36,,,
2025-08-12,ALEC,11.82,2.03,2.27,1m Flat-Bottom,✅,2.24,2.40,,,16:41,,,
2025-08-12,ALEC,11.82,2.03,2.27,5m Flat-Top,❌,,,,,,,,
2025-08-12,ALEC,11.82,2.03,2.27,5m Flat-Bottom,✅,2.05,2.05,,,17:35,,,
2025-08-12,ALEC,11.82,2.03,2.27,1m BullFlag,✅,2.06,2.00,2.09,+0.03,19:42,,,
2025-08-12,ALEC,11.82,2.03,2.27,5m BullFlag,✅,2.08,2.00,2.13,+0.05,19:40,,,
2025-08-12,ALEC,11.82,2.03,2.27,1m FirstPullback,❌,,,,,,,,
2025-08-12,ALEC,11.82,2.03,2.27,5m FirstPullback,❌,,,,,,,,
2025-08-12,ALEC,11.82,2.03,2.27,1m ABCD,❌,,,,,,,,
2025-08-12,ALEC,11.82,2.03,2.27,5m ABCD,❌,,,,,,,,
2025-08-12,CNNE,11.68,17.81,19.89,1m Flat-Top,❌,,,,,,,,
2025-08-12,CNNE,11.68,17.81,19.89,1m Flat-Bottom,✅,19.14,19.14,,,16:34,,,
2025-08-12,CNNE,11.68,17.81,19.89,5m Flat-Top,❌,,,,,,,,
2025-08-12,CNNE,11.68,17.81,19.89,5m Flat-Bottom,❌,,,,,,,,
2025-08-12,CNNE,11.68,17.81,19.89,1m BullFlag,❌,,,,,,,,
2025-08-12,CNNE,11.68,17.81,19.89,5m BullFlag,❌,,,,,,,,
2025-08-12,CNNE,11.68,17.81,19.89,1m FirstPullback,❌,,,,,,,,
2025-08-12,CNNE,11.68,17.81,19.89,5m FirstPullback,❌,,,,,,,,
2025-08-12,CNNE,11.68,17.81,19.89,1m ABCD,❌,,,,,,,,
2025-08-12,CNNE,11.68,17.81,19.89,5m ABCD,❌,,,,,,,,
2025-08-12,LPSN,11.34,0.97,1.08,1m Flat-Top,❌,,,,,,,,
2025-08-12,LPSN,11.34,0.97,1.08,1m Flat-Bottom,✅,1.05,1.05,,,16:34,,,
2025-08-12,LPSN,11.34,0.97,1.08,5m Flat-Top,❌,,,,,,,,
2025-08-12,LPSN,11.34,0.97,1.08,5m Flat-Bottom,✅,1.04,1.05,,,17:00,,,
2025-08-12,LPSN,11.34,0.97,1.08,1m BullFlag,❌,,,,,,,,
2025-08-12,LPSN,11.34,0.97,1.08,5m BullFlag,❌,,,,,,,,
2025-08-12,LPSN,11.34,0.97,1.08,1m FirstPullback,❌,,,,,,,,
2025-08-12,LPSN,11.34,0.97,1.08,5m FirstPullback,❌,,,,,,,,
2025-08-12,LPSN,11.34,0.97,1.08,1m ABCD,❌,,,,,,,,
2025-08-12,LPSN,11.34,0.97,1.08,5m ABCD,❌,,,,,,,,
2025-08-11,TPIC,24.14,0.29,0.36,1m Flat-Top,✅,0.35,0.35,,,11:49,,,
2025-08-11,TPIC,24.14,0.29,0.36,1m Flat-Bottom,✅,0.35,0.36,,,12:44,,,
2025-08-11,TPIC,24.14,0.29,0.36,5m Flat-Top,✅,0.35,0.35,,,11:45,,,
2025-08-11,TPIC,24.14,0.29,0.36,5m Flat-Bottom,✅,0.35,0.36,,,12:40,,,
2025-08-11,TPIC,24.14,0.29,0.36,1m BullFlag,❌,,,,,,,,
2025-08-11,TPIC,24.14,0.29,0.36,5m BullFlag,❌,,,,,,,,
2025-08-11,TPIC,24.14,0.29,0.36,1m FirstPullback,❌,,,,,,,,
2025-08-11,TPIC,24.14,0.29,0.36,5m FirstPullback,❌,,,,,,,,
2025-08-11,TPIC,24.14,0.29,0.36,1m ABCD,❌,,,,,,,,
2025-08-11,TPIC,24.14,0.29,0.36,5m ABCD,❌,,,,,,,,
2025-08-11,WW,24.09,33.50,41.57,1m Flat-Top,✅,40.50,39.50,,,14:33,,,
2025-08-11,WW,24.09,33.50,41.57,1m Flat-Bottom,✅,39.00,43.56,,,16:30,,,
2025-08-11,WW,24.09,33.50,41.57,5m Flat-Top,✅,40.50,39.50,,,14:30,,,
2025-08-11,WW,24.09,33.50,41.57,5m Flat-Bottom,✅,39.00,43.56,,,16:30,,,
2025-08-11,WW,24.09,33.50,41.57,1m BullFlag,✅,38.54,37.52,39.58,+1.04,16:55,,,
2025-08-11,WW,24.09,33.50,41.57,5m BullFlag,❌,,,,,,,,
2025-08-11,WW,24.09,33.50,41.57,1m FirstPullback,❌,,,,,,,,
2025-08-11,WW,24.09,33.50,41.57,5m FirstPullback,❌,,,,,,,,
2025-08-11,WW,24.09,33.50,41.57,1m ABCD,❌,,,,,,,,
2025-08-11,WW,24.09,33.50,41.57,5m ABCD,❌,,,,,,,,
2025-08-11,ZIP,16.09,3.48,4.04,1m Flat-Top,❌,,,,,,,,
2025-08-11,ZIP,16.09,3.48,4.04,1m Flat-Bottom,✅,4.04,4.09,,,16:37,,,
2025-08-11,ZIP,16.09,3.48,4.04,5m Flat-Top,❌,,,,,,,,
2025-08-11,ZIP,16.09,3.48,4.04,5m Flat-Bottom,✅,3.69,3.75,,,18:10,,,
2025-08-11,ZIP,16.09,3.48,4.04,1m BullFlag,✅,3.89,3.47,3.91,+0.02,23:19,,,
2025-08-11,ZIP,16.09,3.48,4.04,5m BullFlag,✅,3.77,3.47,3.81,+0.04,23:15,,,
2025-08-11,ZIP,16.09,3.48,4.04,1m FirstPullback,❌,,,,,,,,
2025-08-11,ZIP,16.09,3.48,4.04,5m FirstPullback,❌,,,,,,,,
2025-08-11,ZIP,16.09,3.48,4.04,1m ABCD,❌,,,,,,,,
2025-08-11,ZIP,16.09,3.48,4.04,5m ABCD,❌,,,,,,,,
2025-08-11,SPHR,15.59,38.75,44.79,1m Flat-Top,❌,,,,,,,,
2025-08-11,SPHR,15.59,38.75,44.79,1m Flat-Bottom,✅,45.00,45.21,,,16:30,,,
2025-08-11,SPHR,15.59,38.75,44.79,5m Flat-Top,❌,,,,,,,,
2025-08-11,SPHR,15.59,38.75,44.79,5m Flat-Bottom,✅,45.00,45.21,,,16:30,,,
2025-08-11,SPHR,15.59,38.75,44.79,1m BullFlag,✅,40.48,38.67,40.59,+0.11,19:08,,,
2025-08-11,SPHR,15.59,38.75,44.79,5m BullFlag,✅,40.20,38.67,42.13,+1.93,19:05,,,
2025-08-11,SPHR,15.59,38.75,44.79,1m FirstPullback,❌,,,,,,,,
2025-08-11,SPHR,15.59,38.75,44.79,5m FirstPullback,❌,,,,,,,,
2025-08-11,SPHR,15.59,38.75,44.79,1m ABCD,✅,40.06,39.74,40.73,+0.67,19:04,,,
2025-08-11,SPHR,15.59,38.75,44.79,5m ABCD,✅,40.20,38.67,42.13,+1.93,19:05,,,
2025-08-11,OBNE,13.52,850.00,964.96,1m Flat-Top,❌,,,,,,,,
2025-08-11,OBNE,13.52,850.00,964.96,1m Flat-Bottom,❌,,,,,,,,
2025-08-11,OBNE,13.52,850.00,964.96,5m Flat-Top,❌,,,,,,,,
2025-08-11,OBNE,13.52,850.00,964.96,5m Flat-Bottom,❌,,,,,,,,
2025-08-11,OBNE,13.52,850.00,964.96,1m BullFlag,❌,,,,,,,,
2025-08-11,OBNE,13.52,850.00,964.96,5m BullFlag,❌,,,,,,,,
2025-08-11,OBNE,13.52,850.00,964.96,1m FirstPullback,❌,,,,,,,,
2025-08-11,OBNE,13.52,850.00,964.96,5m FirstPullback,❌,,,,,,,,
2025-08-11,OBNE,13.52,850.00,964.96,1m ABCD,❌,,,,,,,,
2025-08-11,OBNE,13.52,850.00,964.96,5m ABCD,❌,,,,,,,,
2025-08-11,CDLX,11.82,1.10,1.23,1m Flat-Top,✅,1.18,1.18,,,15:47,,,
2025-08-11,CDLX,11.82,1.10,1.23,1m Flat-Bottom,✅,1.18,1.18,,,17:05,,,
2025-08-11,CDLX,11.82,1.10,1.23,5m Flat-Top,✅,1.18,1.18,,,15:45,,,
2025-08-11,CDLX,11.82,1.10,1.23,5m Flat-Bottom,✅,1.18,1.19,,,17:05,,,
2025-08-11,CDLX,11.82,1.10,1.23,1m BullFlag,❌,,,,,,,,
2025-08-11,CDLX,11.82,1.10,1.23,5m BullFlag,❌,,,,,,,,
2025-08-11,CDLX,11.82,1.10,1.23,1m FirstPullback,❌,,,,,,,,
2025-08-11,CDLX,11.82,1.10,1.23,5m FirstPullback,❌,,,,,,,,
2025-08-11,CDLX,11.82,1.10,1.23,1m ABCD,❌,,,,,,,,
2025-08-11,CDLX,11.82,1.10,1.23,5m ABCD,❌,,,,,,,,
2025-08-11,GPRO,11.45,1.31,1.46,1m Flat-Top,✅,1.41,1.41,,,15:06,,,
2025-08-11,GPRO,11.45,1.31,1.46,1m Flat-Bottom,✅,1.36,1.37,,,16:48,,,
2025-08-11,GPRO,11.45,1.31,1.46,5m Flat-Top,✅,1.41,1.41,,,15:05,,,
2025-08-11,GPRO,11.45,1.31,1.46,5m Flat-Bottom,✅,1.30,1.30,,,17:55,,,
2025-08-11,GPRO,11.45,1.31,1.46,1m BullFlag,✅,1.37,1.29,1.40,+0.03,23:03,,,
2025-08-11,GPRO,11.45,1.31,1.46,5m BullFlag,✅,1.34,1.29,1.39,+0.05,23:00,,,
2025-08-11,GPRO,11.45,1.31,1.46,1m FirstPullback,❌,,,,,,,,
2025-08-11,GPRO,11.45,1.31,1.46,5m FirstPullback,❌,,,,,,,,
2025-08-11,GPRO,11.45,1.31,1.46,1m ABCD,❌,,,,,,,,
2025-08-11,GPRO,11.45,1.31,1.46,5m ABCD,❌,,,,,,,,
2025-08-11,EAF,10.43,1.15,1.27,1m Flat-Top,✅,1.27,1.27,,,16:44,,,
2025-08-11,EAF,10.43,1.15,1.27,1m Flat-Bottom,✅,1.27,1.27,,,16:53,,,
2025-08-11,EAF,10.43,1.15,1.27,5m Flat-Top,❌,,,,,,,,
2025-08-11,EAF,10.43,1.15,1.27,5m Flat-Bottom,✅,1.27,1.27,,,16:50,,,
2025-08-11,EAF,10.43,1.15,1.27,1m BullFlag,❌,,,,,,,,
2025-08-11,EAF,10.43,1.15,1.27,5m BullFlag,❌,,,,,,,,
2025-08-11,EAF,10.43,1.15,1.27,1m FirstPullback,❌,,,,,,,,
2025-08-11,EAF,10.43,1.15,1.27,5m FirstPullback,❌,,,,,,,,
2025-08-11,EAF,10.43,1.15,1.27,1m ABCD,❌,,,,,,,,
2025-08-11,EAF,10.43,1.15,1.27,5m ABCD,❌,,,,,,,,
2025-08-11,CEVA,10.22,21.33,23.51,1m Flat-Top,❌,,,,,,,,
2025-08-11,CEVA,10.22,21.33,23.51,1m Flat-Bottom,❌,,,,,,,,
2025-08-11,CEVA,10.22,21.33,23.51,5m Flat-Top,❌,,,,,,,,
2025-08-11,CEVA,10.22,21.33,23.51,5m Flat-Bottom,❌,,,,,,,,
2025-08-11,CEVA,10.22,21.33,23.51,1m BullFlag,✅,22.31,22.07,22.58,+0.27,17:32,,,
2025-08-11,CEVA,10.22,21.33,23.51,5m BullFlag,✅,21.42,20.90,21.51,+0.09,21:30,,,
2025-08-11,CEVA,10.22,21.33,23.51,1m FirstPullback,❌,,,,,,,,
2025-08-11,CEVA,10.22,21.33,23.51,5m FirstPullback,❌,,,,,,,,
2025-08-11,CEVA,10.22,21.33,23.51,1m ABCD,✅,21.18,21.12,21.26,+0.08,20:05,,,
2025-08-11,CEVA,10.22,21.33,23.51,5m ABCD,❌,,,,,,,,
2025-08-10,SPBE,0.00,292.30,292.30,Gap&Go,❌,,,,,,,,
2025-08-10,SPBE,0.00,292.30,292.30,1m Flat-Top,❌,,,,,,,,
2025-08-10,SPBE,0.00,292.30,292.30,1m Flat-Bottom,❌,,,,,,,,
2025-08-10,SPBE,0.00,292.30,292.30,5m Flat-Top,❌,,,,,,,,
2025-08-10,SPBE,0.00,292.30,292.30,5m Flat-Bottom,❌,,,,,,,,
2025-08-10,SPBE,0.00,292.30,292.30,1m BullFlag,❌,,,,,,,,
2025-08-10,SPBE,0.00,292.30,292.30,5m BullFlag,❌,,,,,,,,
2025-08-10,SPBE,0.00,292.30,292.30,1m FirstPullback,❌,,,,,,,,
2025-08-10,SPBE,0.00,292.30,292.30,5m FirstPullback,❌,,,,,,,,
2025-08-10,SPBE,0.00,292.30,292.30,1m ABCD,❌,,,,,,,,
2025-08-10,SPBE,0.00,292.30,292.30,5m ABCD,❌,,,,,,,,
2025-08-09,ELMT,1.25,0.14,0.15,Gap&Go,❌,,,,,,,,
2025-08-09,ELMT,1.25,0.14,0.15,1m Flat-Top,❌,,,,,,,,
2025-08-09,ELMT,1.25,0.14,0.15,1m Flat-Bottom,❌,,,,,,,,
2025-08-09,ELMT,1.25,0.14,0.15,5m Flat-Top,❌,,,,,,,,
2025-08-09,ELMT,1.25,0.14,0.15,5m Flat-Bottom,❌,,,,,,,,
2025-08-09,ELMT,1.25,0.14,0.15,1m BullFlag,❌,,,,,,,,
2025-08-09,ELMT,1.25,0.14,0.15,5m BullFlag,✅,0.14,0.14,0.14,+0.00,16:15,,,
2025-08-09,ELMT,1.25,0.14,0.15,1m FirstPullback,❌,,,,,,,,
2025-08-09,ELMT,1.25,0.14,0.15,5m FirstPullback,❌,,,,,,,,
2025-08-09,ELMT,1.25,0.14,0.15,1m ABCD,❌,,,,,,,,
2025-08-09,ELMT,1.25,0.14,0.15,5m ABCD,❌,,,,,,,,
2025-08-06,ORUP,64.70,0.76,1.25,Gap&Go,✅,1.23,1.23,,,10:09,,,
2025-08-06,ORUP,64.70,0.76,1.25,1m Flat-Top,❌,,,,,,,,
2025-08-06,ORUP,64.70,0.76,1.25,1m Flat-Bottom,✅,1.25,1.25,,,08:26,,,
2025-08-06,ORUP,64.70,0.76,1.25,5m Flat-Top,❌,,,,,,,,
2025-08-06,ORUP,64.70,0.76,1.25,5m Flat-Bottom,✅,1.25,1.25,,,08:25,,,
2025-08-06,ORUP,64.70,0.76,1.25,1m BullFlag,❌,,,,,,,,
2025-08-06,ORUP,64.70,0.76,1.25,5m BullFlag,✅,0.78,0.76,0.81,+0.02,16:00,,,
2025-08-06,ORUP,64.70,0.76,1.25,1m FirstPullback,❌,,,,,,,,
2025-08-06,ORUP,64.70,0.76,1.25,5m FirstPullback,❌,,,,,,,,
2025-08-06,ORUP,64.70,0.76,1.25,1m ABCD,❌,,,,,,,,
2025-08-06,ORUP,64.70,0.76,1.25,5m ABCD,❌,,,,,,,,
2025-08-06,BLMN,30.20,6.49,8.45,1m Flat-Top,❌,,,,,,,,
2025-08-06,BLMN,30.20,6.49,8.45,1m Flat-Bottom,✅,7.13,7.14,,,16:42,,,
2025-08-06,BLMN,30.20,6.49,8.45,5m Flat-Top,❌,,,,,,,,
2025-08-06,BLMN,30.20,6.49,8.45,5m Flat-Bottom,✅,6.81,6.88,,,17:40,,,
2025-08-06,BLMN,30.20,6.49,8.45,1m BullFlag,✅,7.19,7.03,7.49,+0.30,17:01,,,
2025-08-06,BLMN,30.20,6.49,8.45,5m BullFlag,❌,,,,,,,,
2025-08-06,BLMN,30.20,6.49,8.45,1m FirstPullback,❌,,,,,,,,
2025-08-06,BLMN,30.20,6.49,8.45,5m FirstPullback,❌,,,,,,,,
2025-08-06,BLMN,30.20,6.49,8.45,1m ABCD,✅,7.19,7.03,7.49,+0.30,17:01,,,
2025-08-06,BLMN,30.20,6.49,8.45,5m ABCD,❌,,,,,,,,
2025-08-06,U,23.99,30.56,37.89,1m Flat-Top,✅,34.72,34.72,,,11:09,,,
2025-08-06,U,23.99,30.56,37.89,1m Flat-Bottom,✅,30.98,31.11,,,18:47,,,
2025-08-06,U,23.99,30.56,37.89,5m Flat-Top,✅,35.30,35.07,,,12:25,,,
2025-08-06,U,23.99,30.56,37.89,5m Flat-Bottom,❌,,,,,,,,
2025-08-06,U,23.99,30.56,37.89,1m BullFlag,✅,31.91,29.76,32.22,+0.31,21:02,,,
2025-08-06,U,23.99,30.56,37.89,5m BullFlag,✅,31.58,29.76,32.17,+0.59,20:40,,,
2025-08-06,U,23.99,30.56,37.89,1m FirstPullback,❌,,,,,,,,
2025-08-06,U,23.99,30.56,37.89,5m FirstPullback,❌,,,,,,,,
2025-08-06,U,23.99,30.56,37.89,1m ABCD,❌,,,,,,,,
2025-08-06,U,23.99,30.56,37.89,5m ABCD,❌,,,,,,,,
2025-08-06,RVLV,18.12,18.49,21.84,1m Flat-Top,❌,,,,,,,,
2025-08-06,RVLV,18.12,18.49,21.84,1m Flat-Bottom,✅,21.45,21.87,,,16:31,,,
2025-08-06,RVLV,18.12,18.49,21.84,5m Flat-Top,❌,,,,,,,,
2025-08-06,RVLV,18.12,18.49,21.84,5m Flat-Bottom,❌,,,,,,,,
2025-08-06,RVLV,18.12,18.49,21.84,1m BullFlag,✅,19.18,18.09,19.23,+0.05,21:07,,,
2025-08-06,RVLV,18.12,18.49,21.84,5m BullFlag,✅,19.03,18.09,19.37,+0.34,21:00,,,
2025-08-06,RVLV,18.12,18.49,21.84,1m FirstPullback,❌,,,,,,,,
2025-08-06,RVLV,18.12,18.49,21.84,5m FirstPullback,❌,,,,,,,,
2025-08-06,RVLV,18.12,18.49,21.84,1m ABCD,✅,18.96,18.88,19.07,+0.11,18:31,,,
2025-08-06,RVLV,18.12,18.49,21.84,5m ABCD,❌,,,,,,,,
2025-08-06,LNZL,17.33,6580.00,7720.00,Gap&Go,✅,6810.00,6740.00,,,10:01,,,
2025-08-06,LNZL,17.33,6580.00,7720.00,1m Flat-Top,❌,,,,,,,,
2025-08-06,LNZL,17.33,6580.00,7720.00,1m Flat-Bottom,✅,7600.00,7600.00,,,09:50,,,
2025-08-06,LNZL,17.33,6580.00,7720.00,5m Flat-Top,❌,,,,,,,,
2025-08-06,LNZL,17.33,6580.00,7720.00,5m Flat-Bottom,✅,7600.00,7600.00,,,09:50,,,
2025-08-06,LNZL,17.33,6580.00,7720.00,1m BullFlag,❌,,,,,,,,
2025-08-06,LNZL,17.33,6580.00,7720.00,5m BullFlag,❌,,,,,,,,
2025-08-06,LNZL,17.33,6580.00,7720.00,1m FirstPullback,❌,,,,,,,,
2025-08-06,LNZL,17.33,6580.00,7720.00,5m FirstPullback,❌,,,,,,,,
2025-08-06,LNZL,17.33,6580.00,7720.00,1m ABCD,❌,,,,,,,,
2025-08-06,LNZL,17.33,6580.00,7720.00,5m ABCD,❌,,,,,,,,
2025-08-06,LPSN,16.81,1.19,1.39,1m Flat-Top,✅,1.03,1.00,,,15:34,,,
2025-08-06,LPSN,16.81,1.19,1.39,1m Flat-Bottom,❌,,,,,,,,
2025-08-06,LPSN,16.81,1.19,1.39,5m Flat-Top,❌,,,,,,,,
2025-08-06,LPSN,16.81,1.19,1.39,5m Flat-Bottom,❌,,,,,,,,
2025-08-06,LPSN,16.81,1.19,1.39,1m BullFlag,✅,1.22,1.20,1.25,+0.03,17:13,,,
2025-08-06,LPSN,16.81,1.19,1.39,5m BullFlag,❌,,,,,,,,
2025-08-06,LPSN,16.81,1.19,1.39,1m FirstPullback,❌,,,,,,,,
2025-08-06,LPSN,16.81,1.19,1.39,5m FirstPullback,❌,,,,,,,,
2025-08-06,LPSN,16.81,1.19,1.39,1m ABCD,✅,1.22,1.20,1.25,+0.03,17:13,,,
2025-08-06,LPSN,16.81,1.19,1.39,5m ABCD,❌,,,,,,,,
2025-08-06,UPST,15.82,69.17,80.11,1m Flat-Top,✅,79.80,77.66,,,14:35,,,
2025-08-06,UPST,15.82,69.17,80.11,1m Flat-Bottom,✅,77.66,82.30,,,16:31,,,
2025-08-06,UPST,15.82,69.17,80.11,5m Flat-Top,❌,,,,,,,,
2025-08-06,UPST,15.82,69.17,80.11,5m Flat-Bottom,❌,,,,,,,,
2025-08-06,UPST,15.82,69.17,80.11,1m BullFlag,✅,69.60,69.04,70.12,+0.52,18:17,,,
2025-08-06,UPST,15.82,69.17,80.11,5m BullFlag,❌,,,,,,,,
2025-08-06,UPST,15.82,69.17,80.11,1m FirstPullback,❌,,,,,,,,
2025-08-06,UPST,15.82,69.17,80.11,5m FirstPullback,❌,,,,,,,,
2025-08-06,UPST,15.82,69.17,80.11,1m ABCD,❌,,,,,,,,
2025-08-06,UPST,15.82,69.17,80.11,5m ABCD,❌,,,,,,,,
2025-08-06,QDEL,15.38,23.41,27.01,1m Flat-Top,❌,,,,,,,,
2025-08-06,QDEL,15.38,23.41,27.01,1m Flat-Bottom,✅,24.16,24.17,,,18:39,,,
2025-08-06,QDEL,15.38,23.41,27.01,5m Flat-Top,❌,,,,,,,,
2025-08-06,QDEL,15.38,23.41,27.01,5m Flat-Bottom,❌,,,,,,,,
2025-08-06,QDEL,15.38,23.41,27.01,1m BullFlag,✅,23.96,23.86,24.09,+0.13,20:16,,,
2025-08-06,QDEL,15.38,23.41,27.01,5m BullFlag,❌,,,,,,,,
2025-08-06,QDEL,15.38,23.41,27.01,1m FirstPullback,❌,,,,,,,,
2025-08-06,QDEL,15.38,23.41,27.01,5m FirstPullback,❌,,,,,,,,
2025-08-06,QDEL,15.38,23.41,27.01,1m ABCD,❌,,,,,,,,
2025-08-06,QDEL,15.38,23.41,27.01,5m ABCD,❌,,,,,,,,
2025-08-06,LNZLP,15.29,850.00,980.00,Gap&Go,✅,875.00,860.00,,,10:03,,,
2025-08-06,LNZLP,15.29,850.00,980.00,1m Flat-Top,❌,,,,,,,,
2025-08-06,LNZLP,15.29,850.00,980.00,1m Flat-Bottom,✅,980.00,980.00,,,09:50,,,
2025-08-06,LNZLP,15.29,850.00,980.00,5m Flat-Top,❌,,,,,,,,
2025-08-06,LNZLP,15.29,850.00,980.00,5m Flat-Bottom,✅,980.00,980.00,,,09:50,,,
2025-08-06,LNZLP,15.29,850.00,980.00,1m BullFlag,❌,,,,,,,,
2025-08-06,LNZLP,15.29,850.00,980.00,5m BullFlag,❌,,,,,,,,
2025-08-06,LNZLP,15.29,850.00,980.00,1m FirstPullback,❌,,,,,,,,
